source_name,source_url,source_section,source_item_type,company_name,company_website,source_status,source_category,source_industry,source_business_model,raw_description,source_confidence,notes
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,JD2M,https://www.jedeclaremonmeuble.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Juvonno,https://www.juvonno.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Mas Labor,https://maslabor.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,MaxRTE,https://maxrte.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,MD Clarity,https://www.mdclarity.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,North American Trade Schools,https://natradeschools.edu/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,NovoPath,https://www.novopath.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Nutrishare,https://nutrishare.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Objective Management Group,https://www.objectivemanagement.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Olea Software,https://www.oleasoftware.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,P3 Works,https://www.p3-works.com/home,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Pacific Fertility Center,https://www.pfcla.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Page Vault,https://www.page-vault.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Pathfinder Brands,https://www.pathfinderbrands.co/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Peace Aging Care Experts,https://www.peaceagingcare.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Peak Propane,https://www.peakpropane.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Pelvic Health Solutions,https://phsfl.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Precision Med,https://www.precisionmed.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Quality Standard,https://qualitystandard.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,RDI,,,,,,,High,approved page HTML gallery title without link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,ReVive,https://revive.md/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Route Two Partners,https://www.routetwopartners.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,SAMS,https://njbsoft.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Scribbles Software,https://www.scribsoft.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Sector 7 Energy,https://www.sector7energy.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Smash My Trash,,,,,,,High,approved page HTML gallery title without link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,SoftTrip,https://www.softrip.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Spanish Schoolhouse,https://spanishschoolhouse.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,StaffScheduleCare,https://www.staffschedulecare.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Stage2Data,https://stage2data.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,STAT,http://www.statanalysis.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Tank Track,https://tank-track.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,TaskRay,https://taskray.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Team Management Systems,https://teamservice.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Triyam,https://www.triyam.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,TopQuadrant,https://www.topquadrant.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Tortorella Group,https://www.tortorella.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Utility Management Solutions,https://utilitymanage.com/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Voice Friend,http://www.voicefriend.net/,,,,,,High,approved page HTML gallery title/link
BK Growth,https://www.bkgrowth.com/portfolio,Portfolio gallery,operating company,Wu Consulting Group,https://wuconsulting.com/,,,,,,High,approved page HTML gallery title/link
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Neul Capital Holdings,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,QMC Telecom,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Christopher Kimball Milk Street,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Banyan Software,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Mercury Roadway,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Frotcom Intelligent Fleet,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Datacor,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,ESPYR,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Auronix,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Eyeq Monitoring,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Beeckerco,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,OI Infusion Services,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Kantola,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Revive,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Vitana Pediatric Dental Partners,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Shandy Clinic,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Sunburn,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Taskray,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
TTCER Partners,https://ttcerpartners.com/,Select Partners,operating company,Triyam Data Management Solutions,,,,,,,Medium,Rendered page logo alt text; TTCER says logos represent companies where it holds a board seat
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,2020 Innovation,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,4EverYoung Anti-Aging Solutions,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"Anovia Health, LLC",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Apex Fun Run,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Ascend Software,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Atlantic Duct Cleaning,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Avesta Ketamine,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,B4All,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Banyan Software,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Beryllium,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"Bleecker Street Group, LLC",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Calcom Software Solutions,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"Canyonlands Fund, LLC",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Central Storage & Warehouse Co.,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Choice Water Solutions,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"Church Mutual Insurance Company, S.I.",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Cicero Therapies,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Crystal Practice Management,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Ctaima,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Curious Software,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Datacor,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Ecp (Extended Care Professional,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Eleven Software,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Elk Analytics-Security SMEs,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Energy Savings Partners,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Ennoble Care Hospice,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"Erthwrks, LLC",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"Facial Aesthetics, LLC",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,FileOnQ,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"Forio Holdings, Inc.",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Frazil,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"Gastro Center of Maryland, LLC",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Govineer Solutions,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,HCIM (Health Care Information Management),,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Healthmark Group,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"HigherMe, Inc.",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Infosel,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Innovative Lab Services,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,IntellaTriage,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Mas Labor,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Max RTE,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Md Clarity,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Mechcan LLC,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Metabolic Solutions (MSI),,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,MeterNet,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Motum,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Nearshore Company,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Nutrishare,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Objective Management Group,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,OneShield,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Orion Cordage,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,P3Works LLC,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Page Vault,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Performio,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"Radiant Health Partners, LLC",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Real Power Industries LLC,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,RescueStat,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Revive MedSpa,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Safewaze,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"SAMS (NJBSoft, LLC)",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Shandy Clinic,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,ShipCo Transport,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Softrip,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Spanish Schoolhouse,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"Sunscape Landscaping, LLC",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Task Ray,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,"TopQuadrant, Inc.",,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Tortorella Group,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,TransTech Inc.,,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,UMS (Utility Management Sources),,,,,,,High,
Saltoun Capital Partners,https://www.saltouncapital.com/portfolio,Portfolio,operating company,Attainia,,,,,,,High,
